id	tweet	count
1458722987709018113	Here is a #SneakPeek of the PawCity 3D #Metaverse on @Solana with some live #CatPunks in action!  Public Mint Today: 11 AM UTC! OG BLUE PASS - 2 $SOL  Minting will open 30 Mins prior to 11AM UTC!   https://t.co/nOmxlh6je8  https://t.co/N8NwmjTmRJ	2798
1458818653986738182	EPIC DROP ALERT! @METAWALLS_bln takes #StreetArt into the #Metaverse  At 7pm UTC we go live with our first fractional #CoNFT sale.  Until then, head to  https://t.co/fWenRZWJJJ, retweet &amp; tag friends to help us share #NFT!   #NFTs #NFTdrop #NFTcollector  https://t.co/PjsZPMcBZ9	2227
1458640231880527877	#Affyn  The next Play-to-Earn Geolocation #Metaverse where the virtual and real-world converge  ⌛Private round closed within 1 week of public unveil!   Join Affyn TG channel for the presale announcement:  https://t.co/iFG5plnbUK  Follow👉 @AffynOfficial   #Blockchain #NFT #tokens  https://t.co/GvFNkqhsF9	2023
1458826969462853639	We're thrilled to announce that Metahero is partnering with @bloktopia - opening a virtual Metahero store in their #Metaverse. 👉 https://t.co/Vd6wMbYG6W Joining the likes of #Polygon, #Polkastarter, #BinanceNFT, #CoinTelegraph, #BitBoy, #JakePaul,  and more. #BeYourOwnHero  https://t.co/qcABnQQtky	1475
1458723513632628736	🎁 Torum Avatar #NFTGiveaway 🎁  Rules: 1️⃣ Follow @torum_official 2️⃣ Red heart &amp; RT 3️⃣ Tag 2 Frens  💥 Torum - Pioneering the SocialFi #Metaverse.  #NFTGiveaways #NFTs #NFT #NFTCommunity  https://t.co/Q1UfHNdLuF	1095
1458778687977971713	Thursday morning CMC pumps are always the best  #NFTs #Metaverse #NFTartists #cryptocurrencies #BinanceSmartChain  https://t.co/kpcCRRBfFS	1083
1458629006954172419	🎁Drop your BEP20 address🎁 ✅✅Private sale will be closed soon. ✅✅Join Private sale here:  https://t.co/3Jgeo7gEaI  ✅Like and retweet ✅300 SPACE tokens will be rewarded to 100 lucky members. #metaverse  #GameFi #NFT #PlayToEarn #P2E #IDO  #BSC #PreSale  #NFTdrop #Airdrops  https://t.co/HRX9k1KyDA	727
1458672824558751754	$PIT built a new floor at around 50M. I think @BscPitbull can reach more than 1B mcap. The new roadmap is insane. Time to grab some more $PITs #PitbullTokenArmy #PitBullish #Metaverse #PlayToEarn  https://t.co/FW6Apy8B5p	713
1458801132617322503	🐒 R.A.B.P #NFTs @rabpnft presale live today 11/11/21 11AM EST 🐒 The 1st NFT project to launch its own #Metaverse and has real utility @meta4ai 🐒 8888 Holders of the #NFT become citizens in the #metaverse  🐒 Join discord:  https://t.co/NHVBIvnFwq  🐵 :  https://t.co/dTVfPRh2Xs  https://t.co/7LMnwxnTkt	679
1458733780223598594	They’re trapped in carbonite and they need your help! Extensive roadmap  We’re building a carbon-free metaverse, join us!   https://t.co/cATJh4CbNQ  #unlockthecreature #Metaverse #crypto #NFTs #nftcollectors #NFTCommunity #NFTshill #NFT #NFTdrop #NFTdrops #cryptocurrency #Cryptos  https://t.co/2HvvjP2QUa	587
1458627592018300934	📸Dear #YooShifamily, we are delighted to welcome our new friend BitMart Exchange, @BitMartExchange  BitMart Exchange is a premier global digital asset trading platform, ranking among the top 5 crypto exchanges on @coingecko. We will join hands to explore the #GameFi &amp; #Metaverse  https://t.co/1p5oobXORa	535
1458669824654073857	This is like buying Axie Infinity at $0.15🧑🏻‍🚀🚀  Will Become Leading Meme token in Gaming Industry! $EPAS 🚨Presale starts today!  #Metaverse platform partnership #NFTs 1000x potential🚀  Web:  https://t.co/IYDnMHGA4Q Tg:  https://t.co/q9qgwupkkx  #bitcoin #btc #Binance  #blockchain  https://t.co/BTQSaG704W	522
1458768382379970563	🎁#NFTGiveaway🎁   1x 🏆 Polygon Pinups #NFT  1️⃣ Follow  @PolygonPinups  &amp;  @NFTMint1   2️⃣ ❤️ + RT 3️⃣ Tag friends 4⃣ Join  https://t.co/9T4kQOtBRY ⏰48 hrs  #nftcollector #NFTshill #NFTCommunity #NFTdrop #polygonNFT #Metaverse #NFTs #nftart #NFTartist  https://t.co/YRtdTMDpWL	519
1458868642985254915	What is the best #Metaverse project?	475
1458709397035642882	🔥SHIBANARIUM 🚀 @shibanarium · #Shibatoshi has a healthy chart today!  A lot of news about our #EcoSystem and #Shibnarium #Metaverse are coming!   Stae tuned with us. We appreciate your trusting!  300+ holders: ~500 000 Market Cap  🔥Now u can get SHISHI airdrop on website 🚀  https://t.co/sktFC4mjt1	458
1458864333895647234	"""This is the most original work I've seen in a while"" 🐅 Join @Trendy_Tigers in a 3D #Metaverse. It's a Blue-chip project I'd prefer to invest in and see my $ growing. Go mint some!🚀 #NFTCommunity #NFTs #NFTLaunch  https://t.co/hcMA8B3FwT"	443
1458879469880500232	🚨Nov. 13, at 16:00 UTC, we will be celebrating our successful #Metaverse Land-Sale by pushing out a MEGA-JUICY HOUR on ALL CHAINS, where players can enjoy a MASSIVE increase in earnings on a first-come basis. Join discord for details!  ▶️ https://t.co/LTguz6lpBM  #PlayToEarn #NFT  https://t.co/I1tpcFnloF	407
1458607229662236673	$UNIX Token Launch @CopperLaunch  23th November Starting Price 1$  #PlayToEarn  #NFT  #Metaverse  @MikeTyson @souljaboy @SnoopDogg  https://t.co/URxcekUu4v	394
1458710979903057923	Not gonna lie, when I found out what @ToastPunk #NFTs could do in the #Metaverse as an energy booster to the 'active' NFTs, I was amazed! If you want, get in early, they are minting at 0.09 ETH only through their discord. Only 1k ever to be dropped! 🚀❤️   https://t.co/BoD4QL75yS  https://t.co/4tBRlz3udo	383
1458802054890094592	🐒 R.A.B.P #NFTs @rabpnft presale live today 11/11/21 11AM EST 🐒1st project to launch its own #Metaverse with utility  🐒 8888 holders become citizens in the #metaverse  ✅ Join discord:  https://t.co/D4M80Ol0CB  ✅  https://t.co/Og5Tobp4nU ✅ RT, Like, Follow @meta4ai  https://t.co/gRVtamWNXk	356
1458807295412883458	Catch the latest VR shows, concerts and more on the #CEEK #VRApp #CEEK #Metaverse #VRAPP $CEEK #CEEKVR  👉🏽 More at  https://t.co/oAvCTgGDsS  https://t.co/IRHo5fLBDT  https://t.co/PvtVy4L4qk	342
1458817996932235264	👾 Affyn  🔥 #PlaytoEarn Geolocation #Metaverse where the virtual and real-world converge  🚀 Private round closed within 1 week of public unveil!   📢 #PRESALE Info ⬇️   Follow @affynofficial  TG -  https://t.co/5SRt5AhA7g   #P2E #NFT #NFTs #MATIC #affyn #Whitelist #IDO #IPO #ICO  https://t.co/oZWWJLz3IB	309
1458694658146504708	🔥💫 We’re proud to welcome @TheDaoMaker and @GameFi_Official  into the world of Titan Hunters 🌪🌟  🏹 Don’t miss $TITA IDO on #GameFi and #DAOMaker! Stay tuned for more from our social media ✨  #TitanHunters $TITA #GameFi  #DAOMaker #metaverse #free2play #invest2earn  https://t.co/4BdySgn2nL	296
1458753441728110593	$FLUX will hit 10$ easy, get on board with @RunOnFlux ! #FOMO HARD! 🚀🚀🚀  #cryptocurrency #Crypto #cryptotrading #CryptocurrencyNews #altcoin #Metaverse #investing $kda $sand $mana #BSCGems #100xgem #Binance #BinanceSmartChain  https://t.co/NJzcJdp0PQ	291
1458602515038195721	💵100$💵 🎮GIVEAWAY FOR ALPHA LAUNCH🎮 THE FIRST #METAVERSE MULTIPLAYER OPEN-WORLD ROLE-PLAYING GAME &amp; #NFTGAMING   https://t.co/Ba0J896dPy  ♦️RT &amp; LIKE this ♦️follow  @GrandToken ♦️join telegram  https://t.co/WqRNah1DDz	290
1458831158045822978	🐒 The first #NFT project to build a #metaverse before launch  🐒 RABP NFTs promise a wide range of utilities in the metaverse  🐒 Become a citizen of this great #metaverse by simply owning an  @rabpnft - mint is tommorrow 11/11/21 🐒 Join the discord:   https://t.co/kRygud91zh  https://t.co/a6Fk29pAjX	250
1458747651373944833	Please Vote 🔥 🔥-  Who agrees that @buffdogecoin should take entry in #Metaverse project in upcoming future???  Follow me - @CryptoWithCA  #Meta #BuffDogeCoin @Cryptoparsifal @Buff_dogearmy @BuffDogeHodler #BTC #Bsc #memecoin	233
1458812148935806983	AMA - 6:30PM EST in Discord  - Colin Brady &amp; Kevin Mack from @amgistudios - Pixar &amp; Unreal alumni - DJ set from @TropixOfficial   20 presale spots &amp; 2 NFTs for grabs: - Follow us - Like + RT + Tag 3 friends - Join  https://t.co/uO06psYCAM  #Metaverse #NFTs #PlayToEarn #NFTGiveaway  https://t.co/2n90yU9v9i	225
1458858199772188681	@gate_io @BscPitbull.. $PIT will join the #Metaverse soon.	224
1458925223152136192	According to popular investment publication @InvestorPlace, #FLOKI is one of 7 #Metaverse tokens that might be worthwhile!  You can read the article here:   https://t.co/YBJnNIG55B	222
1458625223234920455	@Metahero_io We are THE gateway into the #Metaverse very soon you will see fully understand what this means 😎✊🏼 #BeYourOwnHero	220
1458731909215752198	ICON is excited to be one of the first residents of the metaverse powered by @redfoxlabs_io.   For more details on the partnership:  https://t.co/fbLKhUBeS2  #ICONProject #VirtualReality #Metaverse  https://t.co/Mqv36Kno45	211
1458729075803967488	We're excited to announce a strategic partnership between RFOX &amp; @helloiconworld!   We look forward to a wealth of collaborative opportunities with our new partner.  Welcome Icon to the @RFOX_VALT #Metaverse   Read more below 👇  https://t.co/VREYAzkbiC   $ICX $RFOX  https://t.co/jrbEZF3LY7	206
1458599991467921412	💵75$💵 🎮GIVEAWAY FOR ALPHA LAUNCH🎮 THE FIRST #METAVERSE MULTIPLAYER OPEN-WORLD ROLE-PLAYING GAME &amp; #NFTGAMING   https://t.co/7lp4tZQtiU  ♦️RT &amp; LIKE this ♦️follow  @GrandToken ♦️join telegram  https://t.co/uADNdGSvK6  Deadline in 48 hours	193
1458857079184232449	What's your favorite #Metaverse project?	188
1458608769642999813	💵200$💵 🎮GIVEAWAY FOR ALPHA LAUNCH🎮 THE FIRST #METAVERSE MULTIPLAYER OPEN-WORLD ROLE-PLAYING GAME &amp; #NFTGAMING   https://t.co/GmbhT7lsJ6  ♦️RT &amp; LIKE this ♦️follow  @GrandToken ♦️join telegram  https://t.co/QFX6vLe9dR	187
1458820963043188743	Closed Demo Selection begins Monday at 2pm UTC!  Get Ready for a chance to play the first full MMO RPG on blockchain.  🎯 3 Selection Rounds 🌕 Guaranteed Spots for NFT and MIST Token holders 🧙‍♂️ 900 other players selected  All Details:  https://t.co/RKfKSmX3Fz [#metaverse #p2e]	144
1458694082553733123	We love our community! You can be part of it and help contribute to a #Metaverse future by joining the Infinite Virtual Space Ambassador Program! 🥇   https://t.co/1Mg7yChlS9   Special thanks to 🇿🇦, 🇳🇬, 🇻🇳, 🇷🇺 &amp; 🇮🇳  https://t.co/TtGAZE8JR4	142
1458816931805511680	🔥 We are excited to announce our Strategic Partnership with @bscstation!  🎉 This newly found alliance will open up new doors for growth and development together.   👉🏼 More details on this will be shared soon!   #ido #launchpad #bsc #metaverse  https://t.co/HEgvGdeLht	141
1458643755154567168	As @Disney prepares to enter the Metaverse, fairy tales come to the #Metaverse .  Let's build your own fairy tales via X-Engine!  #Xengine #IVSpaceExplorer	138
1458784183816499210	🧞‍♀️Mint your #NFT hero for the floor price🤑 ➡️ https://t.co/lTGo34qeLM #bsc  #NFTs  #NFTCommunity  #Metaverse  #wizardiumNFTgame  https://t.co/GX2P4qTE0E	136
1458873269759713280	DigiCorp is live!  Full disclosure. Explore our website and find out about our focus, technology development with @threefold_io  &amp; @DigiByteCoin  Meet our team &amp; advisors and learn about our token $DGMV Let our #metaverse journey begin together with you.  https://t.co/2lMdBZOzLp	128
